EmployeeNumber,Age,Gender,MaritalStatus,Education,EducationField,NumCompaniesWorked,Over18,DistanceFromHome,Attrition,PerformanceRating,EmployeeCount,MonthlyIncome,MonthlyRate,DailyRate,HourlyRate,PercentSalaryHike,StockOptionLevel,StandardHours,Department,JobRole,JobLevel,JobInvolvement,JobSatisfaction,OverTime,BusinessTravel,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear
445,39,Female,Married,2,Medical,4,Y,3,Yes,3,1,5238,17778,1162,41,18,0,80,Sales,"Sales Executive",2,3,3,Yes,Travel_Rarely,4,1,2,12,1,0,0,0,3
446,33,Male,Single,3,Marketing,3,Y,10,No,3,1,4682,4317,508,46,14,0,80,Sales,"Sales Executive",2,2,4,No,Travel_Frequently,2,3,2,9,7,7,0,1,6
447,47,Male,Married,5,"Life Sciences",4,Y,5,No,3,1,18300,16375,1482,42,11,1,80,"Research & Development","Research Director",5,3,3,No,Travel_Rarely,4,2,3,21,3,2,1,1,2
448,43,Female,Divorced,4,"Life Sciences",1,Y,10,No,3,1,5257,6227,559,82,11,1,80,"Research & Development","Laboratory Technician",2,2,3,No,Travel_Frequently,3,2,4,9,9,7,0,0,3
449,27,Male,Married,1,Marketing,0,Y,1,No,3,1,6349,22107,210,73,13,1,80,Sales,"Sales Executive",2,3,2,Yes,Non-Travel,3,4,3,6,5,4,1,4,0
450,54,Female,Single,4,"Life Sciences",3,Y,20,No,3,1,4869,16885,928,31,12,0,80,"Research & Development","Research Scientist",2,3,3,No,Travel_Frequently,4,4,2,20,4,3,0,3,4
451,43,Female,Married,3,"Life Sciences",8,Y,7,No,3,1,9985,9262,1001,43,16,1,80,"Research & Development","Healthcare Representative",3,3,1,No,Travel_Rarely,3,1,2,10,1,0,0,0,1
452,45,Male,Married,4,Other,9,Y,8,No,3,1,3697,9278,549,75,14,2,80,"Research & Development","Research Scientist",2,3,4,No,Travel_Rarely,4,1,3,12,10,9,9,8,3
453,40,Male,Married,2,Medical,2,Y,1,No,4,1,7457,13273,1124,57,22,3,80,Sales,"Sales Executive",2,1,4,Yes,Travel_Rarely,2,3,2,6,4,3,0,2,2
454,29,Male,Married,4,Other,1,Y,8,Yes,3,1,2119,4759,318,77,11,0,80,"Research & Development","Laboratory Technician",1,1,1,Yes,Travel_Rarely,2,4,2,7,7,7,0,7,4
455,29,Male,Single,5,Other,0,Y,9,No,3,1,3983,7621,738,30,17,0,80,"Research & Development","Laboratory Technician",1,2,4,No,Travel_Rarely,2,3,3,4,3,2,2,2,2
456,30,Female,Divorced,3,Marketing,1,Y,5,No,3,1,6118,5431,570,30,13,3,80,Sales,"Sales Executive",2,2,3,No,Travel_Rarely,4,3,3,10,10,9,1,2,2
458,27,Female,Married,4,Marketing,1,Y,8,No,3,1,6214,3415,1130,56,18,1,80,Sales,"Sales Executive",2,3,2,No,Travel_Rarely,2,1,3,8,8,7,0,7,3
460,37,Male,Divorced,2,Medical,7,Y,5,No,3,1,6347,23177,1192,61,16,2,80,"Research & Development","Manufacturing Director",2,3,4,No,Travel_Rarely,4,3,2,8,6,2,0,4,2
461,38,Male,Divorced,2,"Life Sciences",0,Y,15,No,3,1,11510,15682,343,92,14,1,80,"Research & Development","Research Director",3,2,4,Yes,Travel_Rarely,3,2,3,12,11,10,2,9,3
462,31,Female,Single,4,Medical,1,Y,7,No,3,1,7143,25713,1232,39,14,0,80,"Research & Development","Manufacturing Director",3,3,4,Yes,Travel_Rarely,3,3,2,11,11,9,4,10,2
463,29,Female,Divorced,1,Marketing,1,Y,10,No,3,1,8268,11866,144,39,14,2,80,Sales,"Sales Executive",2,2,2,Yes,Travel_Rarely,4,1,3,7,7,7,1,7,2
464,35,Male,Single,4,"Technical Degree",0,Y,5,No,3,1,8095,18264,1296,62,13,0,80,"Research & Development","Manufacturing Director",3,3,2,No,Travel_Rarely,3,4,3,17,16,6,0,13,5
465,23,Male,Divorced,1,"Life Sciences",1,Y,26,No,3,1,2904,16092,1309,83,12,2,80,"Research & Development","Research Scientist",1,3,4,No,Travel_Rarely,3,3,2,4,4,2,0,2,2
466,41,Male,Single,3,Medical,6,Y,6,No,3,1,6032,10110,483,95,15,0,80,"Research & Development","Manufacturing Director",2,2,2,Yes,Travel_Rarely,4,4,3,8,5,4,1,2,3
467,47,Male,Single,1,Medical,3,Y,4,No,3,1,2976,25751,1309,99,19,0,80,Sales,"Sales Representative",2,3,3,No,Travel_Frequently,2,1,3,5,0,0,0,0,3
468,42,Female,Single,5,"Life Sciences",2,Y,23,No,3,1,15992,15901,810,44,14,0,80,"Research & Development","Research Director",4,3,4,No,Travel_Rarely,1,2,3,16,1,0,0,0,2
469,29,Male,Married,3,"Life Sciences",1,Y,2,No,3,1,4649,16928,746,61,14,1,80,Sales,"Sales Executive",2,3,3,No,Non-Travel,4,1,2,4,4,3,0,2,3
470,42,Male,Divorced,1,"Technical Degree",0,Y,2,No,3,1,2696,24017,544,52,11,1,80,"Human Resources","Human Resources",1,3,3,Yes,Travel_Rarely,3,3,3,4,3,2,1,0,5
471,32,Female,Married,3,Medical,1,Y,2,No,3,1,2370,3956,1062,75,13,1,80,"Research & Development","Laboratory Technician",1,3,2,No,Travel_Rarely,3,3,3,8,8,0,0,7,4
473,48,Female,Married,1,Medical,3,Y,29,No,4,1,12504,23978,530,91,21,1,80,Sales,Manager,3,3,3,No,Travel_Rarely,1,2,1,15,0,0,0,0,3
474,37,Male,Divorced,3,Medical,4,Y,6,No,3,1,5974,17001,1319,51,13,2,80,"Research & Development","Research Scientist",2,4,1,Yes,Travel_Rarely,3,1,3,13,7,7,6,7,2
475,30,Female,Married,2,"Technical Degree",7,Y,25,No,3,1,4736,6069,641,85,12,1,80,Sales,"Sales Executive",2,3,3,Yes,Non-Travel,4,2,4,4,2,2,2,2,2
476,26,Male,Married,3,"Life Sciences",1,Y,1,No,3,1,5296,20156,933,57,17,1,80,Sales,"Sales Executive",2,3,3,No,Travel_Rarely,3,2,3,8,8,7,7,7,3
477,42,Male,Single,4,Other,3,Y,2,No,4,1,6781,17078,1332,98,23,0,80,"Research & Development","Healthcare Representative",2,2,4,No,Travel_Rarely,1,2,3,14,1,0,0,0,6
478,21,Female,Single,1,"Technical Degree",1,Y,1,Yes,3,1,2174,9150,756,99,11,0,80,Sales,"Sales Representative",1,2,2,Yes,Travel_Frequently,1,3,3,3,3,2,1,2,3
479,36,Female,Single,5,Medical,4,Y,1,No,3,1,6653,15276,845,45,15,0,80,Sales,"Sales Executive",2,3,4,No,Non-Travel,4,2,3,7,1,0,0,0,6
481,36,Male,Married,4,Medical,4,Y,3,No,3,1,9699,7246,541,48,11,1,80,Sales,"Sales Executive",3,2,4,No,Travel_Frequently,1,1,3,16,13,9,1,12,2
482,57,Male,Married,4,Medical,2,Y,1,No,3,1,6755,2967,593,88,11,0,80,"Research & Development","Healthcare Representative",2,3,3,No,Travel_Rarely,4,3,3,15,3,2,1,2,2
483,40,Female,Married,4,"Life Sciences",3,Y,10,No,3,1,2213,22495,1171,46,13,1,80,"Research & Development","Laboratory Technician",1,4,3,Yes,Travel_Rarely,4,3,3,10,7,7,1,7,3
484,21,Male,Single,2,Medical,1,Y,9,No,4,1,2610,2851,895,39,24,0,80,Sales,"Sales Representative",1,3,4,No,Non-Travel,1,3,2,3,3,2,2,2,3
485,33,Female,Single,3,Marketing,1,Y,5,Yes,3,1,2851,9150,350,34,13,0,80,Sales,"Sales Representative",1,3,3,Yes,Travel_Rarely,4,2,3,1,1,0,0,0,2
486,37,Female,Married,3,Medical,6,Y,10,No,4,1,3452,17663,921,98,20,1,80,"Research & Development","Laboratory Technician",1,3,1,No,Travel_Rarely,3,2,3,17,5,4,0,3,3
487,46,Female,Married,4,Medical,2,Y,7,No,3,1,5258,16044,1144,30,14,0,80,"Research & Development","Manufacturing Director",2,3,3,No,Non-Travel,3,3,4,7,1,0,0,0,2
488,41,Male,Single,3,Marketing,1,Y,4,Yes,3,1,9355,9558,143,56,18,0,80,Sales,"Sales Executive",2,3,2,No,Travel_Frequently,1,3,3,8,8,7,7,7,5
491,50,Male,Single,3,"Technical Degree",6,Y,10,No,3,1,10496,2755,1046,100,15,0,80,"Research & Development","Healthcare Representative",3,2,4,No,Travel_Rarely,4,4,3,20,4,3,1,3,2
492,40,Male,Married,2,Marketing,2,Y,22,Yes,3,1,6380,6110,575,68,12,2,80,Sales,"Sales Executive",2,2,3,Yes,Travel_Rarely,3,1,3,8,6,4,1,0,6
493,31,Male,Single,4,"Life Sciences",0,Y,9,No,3,1,2657,7551,408,42,16,0,80,"Research & Development","Research Scientist",1,2,2,Yes,Travel_Rarely,3,4,3,3,2,2,2,2,5
494,21,Female,Single,3,"Life Sciences",1,Y,12,Yes,3,1,2716,25422,156,90,15,0,80,Sales,"Sales Representative",1,4,2,No,Travel_Rarely,3,4,3,1,1,0,0,0,0
495,29,Male,Single,3,"Life Sciences",9,Y,23,No,3,1,2201,18168,1283,54,16,0,80,"Research & Development","Research Scientist",1,3,4,No,Travel_Rarely,4,4,3,6,3,2,1,2,4
496,35,Male,Single,4,"Life Sciences",9,Y,9,No,3,1,6540,19394,755,97,19,0,80,"Research & Development","Healthcare Representative",2,2,2,No,Travel_Rarely,3,3,3,10,1,1,0,0,5
497,27,Male,Divorced,2,Medical,1,Y,1,No,3,1,3816,17881,1469,82,11,1,80,"Research & Development","Laboratory Technician",1,3,2,No,Travel_Rarely,4,2,3,5,5,2,0,4,2
498,28,Male,Single,4,"Life Sciences",1,Y,9,No,3,1,5253,20750,304,92,16,0,80,Sales,"Sales Executive",2,3,4,No,Travel_Rarely,2,4,3,7,7,5,0,7,1
499,49,Male,Single,3,Other,8,Y,7,No,4,1,10965,12066,1261,31,24,0,80,"Research & Development","Healthcare Representative",3,2,3,No,Travel_Rarely,2,3,3,26,5,2,0,0,2
500,51,Female,Married,2,"Life Sciences",4,Y,14,No,3,1,4936,14862,1178,87,11,1,80,Sales,"Sales Executive",2,3,4,No,Travel_Rarely,3,3,2,18,7,7,0,7,2
501,36,Female,Married,3,"Life Sciences",4,Y,2,No,3,1,2543,11868,329,96,13,1,80,"Research & Development","Research Scientist",1,3,3,No,Travel_Rarely,4,2,3,6,2,2,2,2,3
502,34,Male,Single,3,Marketing,8,Y,19,Yes,3,1,5304,4652,1362,67,13,0,80,Sales,"Sales Executive",2,4,4,Yes,Non-Travel,1,2,2,9,5,2,0,4,3
505,55,Female,Single,3,"Life Sciences",2,Y,2,No,3,1,16659,23258,1311,97,13,0,80,"Research & Development",Manager,4,3,4,Yes,Travel_Rarely,3,3,3,30,5,4,1,2,2
507,24,Female,Divorced,4,Marketing,1,Y,10,No,3,1,4260,5915,1371,77,12,1,80,Sales,"Sales Executive",2,3,3,Yes,Travel_Rarely,4,4,4,5,5,2,0,3,2
508,30,Male,Married,1,"Technical Degree",1,Y,2,No,3,1,2476,17434,202,72,18,1,80,Sales,"Sales Representative",1,3,2,No,Travel_Rarely,3,1,3,1,1,0,0,0,3
510,26,Male,Single,1,"Technical Degree",0,Y,3,Yes,4,1,3102,6582,575,73,22,0,80,"Research & Development","Research Scientist",1,3,1,No,Travel_Frequently,3,3,3,7,6,4,0,4,2
511,22,Female,Married,3,Medical,1,Y,11,No,3,1,2244,24440,253,43,13,1,80,"Research & Development","Research Scientist",1,3,2,No,Travel_Rarely,1,4,3,2,2,1,1,2,1
513,36,Male,Married,2,Medical,1,Y,2,No,3,1,7596,3809,164,61,13,2,80,Sales,"Sales Executive",3,2,3,No,Travel_Rarely,2,2,3,10,10,9,9,0,2
514,30,Male,Single,3,"Technical Degree",9,Y,4,Yes,4,1,2285,3427,464,40,23,0,80,"Research & Development","Research Scientist",1,3,4,Yes,Travel_Frequently,3,3,3,3,1,0,0,0,4
515,37,Female,Divorced,3,"Life Sciences",1,Y,14,No,3,1,3034,26914,1107,95,12,1,80,"Research & Development","Laboratory Technician",1,3,1,No,Travel_Rarely,4,3,2,18,18,7,12,17,2
516,40,Female,Divorced,2,Marketing,7,Y,2,No,3,1,5715,22553,759,46,12,2,80,Sales,"Sales Executive",2,3,2,No,Travel_Rarely,4,3,3,8,5,4,1,3,5
517,42,Female,Divorced,4,"Life Sciences",3,Y,1,No,3,1,2576,20490,201,95,16,1,80,"Research & Development","Laboratory Technician",1,3,1,No,Travel_Rarely,2,2,3,8,5,2,1,2,5
518,37,Male,Single,4,"Life Sciences",2,Y,10,No,3,1,4197,21123,1305,49,12,0,80,"Research & Development","Manufacturing Director",2,3,2,Yes,Travel_Rarely,3,4,2,18,1,0,0,1,2
520,43,Male,Divorced,3,"Life Sciences",1,Y,12,No,3,1,14336,4345,982,59,11,1,80,"Research & Development","Research Director",4,2,2,No,Travel_Rarely,1,3,3,25,25,10,3,9,3
521,40,Female,Married,3,Medical,6,Y,2,No,4,1,3448,13436,555,78,22,1,80,"Research & Development","Laboratory Technician",2,2,3,No,Travel_Rarely,2,2,3,20,1,0,0,0,3
522,54,Male,Married,2,Medical,4,Y,5,No,3,1,19406,8509,821,86,11,1,80,"Research & Development","Research Director",5,3,1,No,Travel_Rarely,1,3,2,24,4,2,1,2,4
523,34,Female,Married,4,Marketing,9,Y,4,No,3,1,6538,12740,1381,72,15,1,80,Sales,"Sales Executive",2,3,3,No,Non-Travel,3,1,3,6,3,2,1,2,3
524,31,Female,Married,2,Medical,1,Y,7,No,3,1,4306,4156,480,31,12,1,80,"Research & Development","Manufacturing Director",2,3,1,No,Travel_Rarely,2,2,1,13,13,10,3,12,5
525,43,Male,Married,3,Medical,7,Y,21,No,4,1,2258,15238,313,61,20,1,80,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Frequently,4,1,3,8,3,2,1,2,1
526,43,Female,Divorced,4,Other,4,Y,8,No,3,1,4522,2227,1473,74,14,0,80,"Research & Development","Healthcare Representative",2,3,3,Yes,Travel_Rarely,3,4,3,8,5,2,0,2,3
527,25,Female,Single,2,"Life Sciences",1,Y,4,No,3,1,4487,12090,891,99,11,0,80,Sales,"Sales Executive",2,2,4,Yes,Travel_Rarely,2,2,3,5,5,4,1,3,3
529,37,Female,Married,5,Medical,3,Y,25,No,3,1,4449,23866,1063,72,15,2,80,"Research & Development","Research Scientist",2,3,3,Yes,Non-Travel,2,1,3,15,13,11,10,7,2
530,31,Male,Married,2,"Life Sciences",1,Y,1,No,3,1,2218,16193,329,98,12,1,80,"Research & Development","Laboratory Technician",1,2,1,No,Travel_Rarely,4,3,3,4,4,2,3,2,3
531,39,Male,Divorced,1,"Life Sciences",1,Y,1,No,3,1,19197,8213,1218,52,14,1,80,"Research & Development",Manager,5,3,3,Yes,Travel_Frequently,2,3,3,21,21,8,1,6,3
532,56,Female,Married,3,"Life Sciences",9,Y,6,No,3,1,13212,18256,906,86,11,3,80,Sales,"Sales Executive",4,4,1,No,Travel_Frequently,3,4,2,36,7,7,7,7,0
533,30,Female,Single,3,"Technical Degree",0,Y,12,No,3,1,6577,19558,1082,83,11,0,80,Sales,"Sales Executive",2,3,3,No,Travel_Rarely,2,2,3,6,5,4,4,4,6
534,41,Male,Married,3,Marketing,1,Y,1,No,3,1,8392,19566,645,49,16,1,80,Sales,"Sales Executive",3,4,1,No,Travel_Rarely,2,3,3,10,10,7,0,7,2
536,28,Male,Divorced,2,Medical,1,Y,17,No,3,1,4558,13535,1300,79,12,1,80,"Research & Development","Laboratory Technician",2,3,1,No,Travel_Rarely,3,4,3,10,10,0,1,8,2
538,25,Male,Married,3,Medical,5,Y,3,Yes,3,1,4031,9396,688,91,13,1,80,"Research & Development","Laboratory Technician",1,3,1,No,Travel_Rarely,1,3,3,6,2,2,0,2,5
543,52,Male,Married,3,Medical,2,Y,3,No,3,1,7969,19609,319,39,14,0,80,"Research & Development","Manufacturing Director",3,2,3,Yes,Travel_Rarely,4,3,3,28,5,4,0,4,4
544,45,Male,Married,2,"Life Sciences",3,Y,10,No,4,1,2654,9655,192,69,21,2,80,"Research & Development","Research Scientist",1,3,4,No,Travel_Rarely,1,4,2,8,2,2,0,2,3
546,52,Female,Married,2,"Life Sciences",2,Y,4,No,3,1,16555,10310,1490,30,13,0,80,"Research & Development",Manager,4,3,4,No,Travel_Rarely,4,4,1,31,5,2,1,4,2
547,42,Female,Divorced,2,"Life Sciences",2,Y,29,No,3,1,4556,12932,532,92,11,1,80,"Research & Development","Research Scientist",2,3,3,No,Travel_Frequently,1,2,3,19,5,4,0,2,3
548,30,Female,Single,3,"Life Sciences",2,Y,2,No,4,1,6091,24793,317,43,20,0,80,"Research & Development","Manufacturing Director",2,1,4,No,Travel_Rarely,3,3,3,11,5,4,0,2,2
549,60,Female,Married,3,"Life Sciences",5,Y,7,No,3,1,19566,3854,422,41,11,0,80,"Research & Development",Manager,5,3,1,No,Travel_Rarely,1,4,1,33,29,8,11,10,5
550,46,Female,Divorced,3,Medical,2,Y,18,No,3,1,4810,26314,1485,87,14,1,80,"Research & Development","Manufacturing Director",2,3,3,No,Travel_Rarely,3,3,2,19,10,7,0,8,5
551,42,Female,Married,4,"Technical Degree",0,Y,28,No,3,1,4523,4386,1368,88,11,3,80,"Research & Development","Healthcare Representative",2,2,4,No,Travel_Frequently,4,4,4,7,6,5,0,4,4
554,24,Female,Single,1,"Technical Degree",1,Y,1,Yes,3,1,3202,21972,1448,62,16,0,80,Sales,"Sales Representative",1,3,2,Yes,Travel_Rarely,1,2,3,6,5,3,1,4,4
555,34,Female,Divorced,2,Marketing,0,Y,6,Yes,3,1,2351,12253,296,33,16,1,80,Sales,"Sales Representative",1,1,3,No,Travel_Frequently,4,4,2,3,2,2,1,0,3
556,38,Male,Married,2,"Life Sciences",1,Y,2,No,4,1,1702,12106,1490,42,23,1,80,"Research & Development","Laboratory Technician",1,3,4,Yes,Travel_Frequently,4,3,3,1,1,0,0,0,3
558,40,Female,Married,4,"Life Sciences",0,Y,2,No,3,1,18041,13022,1398,79,14,0,80,Sales,Manager,5,3,3,No,Travel_Rarely,3,4,3,21,20,15,1,12,2
560,26,Female,Divorced,3,"Life Sciences",1,Y,23,No,4,1,2886,3032,1349,90,22,2,80,"Research & Development","Research Scientist",1,3,4,No,Travel_Rarely,1,2,1,3,3,2,0,2,3
562,30,Male,Married,3,"Life Sciences",4,Y,3,No,3,1,2097,16734,1400,53,15,1,80,"Research & Development","Laboratory Technician",1,3,4,No,Non-Travel,3,3,1,9,5,3,1,4,3
564,29,Male,Married,4,Medical,1,Y,3,No,3,1,11935,21526,986,93,18,0,80,"Research & Development","Research Director",3,2,3,No,Travel_Rarely,2,3,3,10,10,2,0,7,2
565,29,Female,Married,5,"Technical Degree",5,Y,25,Yes,3,1,2546,18300,408,71,16,0,80,"Research & Development","Research Scientist",1,2,2,No,Travel_Rarely,3,2,4,6,2,2,1,1,2
566,19,Male,Single,2,"Technical Degree",1,Y,2,Yes,3,1,2564,18437,489,52,12,0,80,"Human Resources","Human Resources",1,2,4,No,Travel_Rarely,1,3,4,1,1,0,0,0,3
567,30,Female,Married,4,Other,0,Y,22,No,3,1,8412,2890,1398,69,11,0,80,Sales,"Sales Executive",3,3,1,No,Non-Travel,3,3,3,10,9,8,7,8,3
568,57,Male,Divorced,3,Marketing,3,Y,29,No,3,1,14118,22102,210,56,12,1,80,Sales,Manager,4,2,4,No,Travel_Rarely,1,3,2,32,1,0,0,0,3
569,50,Male,Married,4,"Life Sciences",0,Y,29,No,3,1,17046,9314,1099,88,15,1,80,"Research & Development",Manager,4,2,3,No,Travel_Rarely,2,2,3,28,27,10,15,7,2
571,30,Female,Single,3,Medical,0,Y,2,No,3,1,2564,7181,1116,49,14,0,80,"Research & Development","Laboratory Technician",1,3,4,No,Non-Travel,3,3,2,12,11,7,6,7,2
573,60,Female,Married,3,Marketing,4,Y,28,No,3,1,10266,2845,1499,80,19,0,80,Sales,"Sales Executive",3,2,1,No,Travel_Frequently,3,4,4,22,18,13,13,11,5
574,47,Female,Divorced,2,Medical,5,Y,2,No,3,1,5070,7389,983,65,13,3,80,"Research & Development","Manufacturing Director",2,3,4,No,Travel_Rarely,1,3,3,20,5,0,0,4,2
575,46,Male,Married,3,"Life Sciences",6,Y,2,No,3,1,17861,2288,1009,51,13,0,80,"Research & Development","Research Director",4,3,3,No,Travel_Rarely,1,3,1,26,3,2,0,1,2
577,35,Male,Single,3,"Life Sciences",0,Y,22,No,3,1,4230,19225,144,46,15,0,80,"Research & Development","Laboratory Technician",1,1,3,No,Travel_Rarely,4,3,3,6,5,4,4,3,2
578,54,Female,Single,4,"Life Sciences",7,Y,8,No,3,1,3780,23428,548,42,11,0,80,"Research & Development","Laboratory Technician",2,3,3,No,Travel_Rarely,3,3,3,19,1,0,0,0,3
579,34,Male,Divorced,4,"Life Sciences",3,Y,2,No,3,1,2768,8416,1303,62,12,1,80,"Research & Development","Research Scientist",1,2,3,No,Travel_Rarely,4,3,3,14,7,3,5,7,3
580,46,Female,Married,3,Marketing,2,Y,10,No,3,1,9071,11563,1125,94,19,1,80,Sales,"Sales Executive",3,2,4,Yes,Travel_Rarely,3,3,3,15,3,2,1,2,3
581,31,Male,Divorced,1,"Life Sciences",1,Y,9,No,4,1,10648,14394,1274,33,25,1,80,"Research & Development","Manufacturing Director",3,3,2,No,Travel_Rarely,3,4,4,13,13,8,0,8,6
582,33,Male,Married,1,Medical,7,Y,15,Yes,3,1,13610,24619,1277,56,12,0,80,"Research & Development",Manager,3,3,3,Yes,Travel_Rarely,2,4,4,15,7,6,7,7,2
584,33,Male,Divorced,1,Medical,7,Y,10,Yes,3,1,3408,6705,587,38,13,3,80,"Research & Development","Laboratory Technician",1,1,4,No,Travel_Rarely,1,1,3,8,4,3,1,3,2
585,30,Male,Single,1,Marketing,0,Y,7,No,3,1,2983,18398,413,57,14,0,80,Sales,"Sales Representative",1,3,2,No,Travel_Rarely,4,1,3,4,3,2,1,2,3
586,35,Male,Married,3,"Life Sciences",4,Y,16,No,3,1,7632,14295,1276,72,12,0,80,"Research & Development","Healthcare Representative",3,3,3,Yes,Travel_Rarely,4,3,3,10,8,7,0,0,2
587,31,Male,Married,3,"Life Sciences",3,Y,20,Yes,3,1,9824,22908,534,66,12,0,80,"Research & Development","Healthcare Representative",3,3,3,No,Travel_Frequently,1,1,3,12,1,0,0,0,2
590,34,Female,Divorced,3,"Human Resources",9,Y,23,Yes,3,1,9950,11533,988,43,15,3,80,"Human Resources","Human Resources",3,3,1,Yes,Travel_Frequently,2,3,3,11,3,2,0,2,2
591,42,Male,Married,2,Other,4,Y,5,No,3,1,2093,9260,1474,97,17,1,80,"Research & Development","Laboratory Technician",1,3,3,No,Travel_Frequently,2,4,3,8,2,2,2,0,4
592,36,Male,Single,4,Medical,1,Y,10,No,3,1,9980,15318,635,32,14,0,80,Sales,"Sales Executive",3,3,4,No,Non-Travel,2,4,2,10,10,3,9,7,3
593,22,Male,Single,1,"Technical Degree",5,Y,4,Yes,3,1,3894,9129,1368,99,16,0,80,"Research & Development","Laboratory Technician",1,2,3,No,Travel_Frequently,3,3,3,4,2,2,1,2,3
595,48,Female,Married,5,Marketing,2,Y,2,No,3,1,4051,19658,163,37,14,1,80,Sales,"Sales Executive",2,3,4,No,Travel_Rarely,2,1,3,14,9,7,6,7,2
597,55,Female,Single,5,"Life Sciences",3,Y,18,No,4,1,16835,9873,1117,83,23,0,80,Sales,Manager,4,3,2,No,Travel_Rarely,1,4,3,37,10,9,7,7,2
599,41,Male,Single,2,"Life Sciences",7,Y,10,No,3,1,6230,13430,267,56,14,0,80,Sales,"Sales Executive",2,3,4,No,Non-Travel,4,4,3,16,14,3,1,10,3
600,35,Male,Married,3,Marketing,9,Y,1,No,3,1,4717,18659,619,85,11,0,80,Sales,"Sales Executive",2,3,3,No,Travel_Rarely,2,3,3,15,11,9,6,9,2
601,40,Female,Single,3,"Life Sciences",7,Y,6,No,3,1,13237,20364,302,75,15,0,80,"Research & Development","Manufacturing Director",4,3,3,No,Travel_Rarely,2,3,3,22,20,6,5,13,3
602,39,Female,Married,1,"Life Sciences",1,Y,8,No,3,1,3755,17872,443,48,11,1,80,"Research & Development","Laboratory Technician",1,3,3,No,Travel_Frequently,3,1,3,8,8,3,0,7,3
604,31,Male,Single,1,"Life Sciences",4,Y,2,No,3,1,6582,8346,828,77,13,0,80,Sales,"Sales Executive",2,3,4,Yes,Travel_Rarely,2,3,4,10,6,5,0,5,2
605,42,Male,Married,3,Medical,1,Y,24,No,4,1,7406,6950,319,56,21,1,80,"Research & Development","Manufacturing Director",3,3,1,Yes,Travel_Rarely,4,4,2,10,10,9,5,8,5
606,45,Male,Married,3,Other,0,Y,2,No,3,1,4805,16177,561,61,19,1,80,Sales,"Sales Executive",2,3,2,No,Travel_Rarely,4,2,4,9,8,7,3,7,3
608,26,Female,Divorced,4,"Life Sciences",0,Y,17,Yes,3,1,2741,22808,426,58,11,1,80,"Human Resources","Human Resources",1,3,3,Yes,Travel_Frequently,2,2,2,8,7,7,1,0,2
611,29,Male,Divorced,3,"Technical Degree",4,Y,19,No,3,1,4262,22645,232,34,12,2,80,"Research & Development","Manufacturing Director",2,3,4,No,Travel_Rarely,4,2,4,8,3,2,1,2,2
612,33,Female,Divorced,5,Medical,4,Y,1,No,3,1,16184,22578,922,95,19,1,80,"Research & Development","Research Director",4,4,3,No,Travel_Rarely,1,3,3,10,6,1,0,5,2
613,31,Male,Divorced,3,"Life Sciences",9,Y,7,No,4,1,11557,25291,688,44,21,1,80,Sales,Manager,3,2,4,No,Travel_Rarely,3,3,2,10,5,4,0,1,3
614,18,Male,Single,3,Marketing,1,Y,5,Yes,3,1,1878,8059,1306,69,14,0,80,Sales,"Sales Representative",1,3,2,Yes,Travel_Frequently,2,4,3,0,0,0,0,0,3
615,40,Male,Divorced,3,Other,3,Y,28,No,3,1,10932,11373,1094,58,15,1,80,Sales,"Sales Executive",3,1,1,No,Non-Travel,3,3,3,20,1,0,0,1,2
616,41,Female,Single,4,Other,2,Y,2,No,3,1,6811,2112,509,62,17,0,80,"Research & Development","Healthcare Representative",2,2,3,Yes,Non-Travel,1,1,3,10,8,7,0,7,3
618,26,Male,Divorced,2,Medical,5,Y,29,No,3,1,4306,4267,775,45,12,2,80,Sales,"Sales Executive",2,3,3,No,Travel_Rarely,1,1,3,8,0,0,0,0,5
620,35,Female,Single,3,Medical,1,Y,1,No,3,1,4859,6698,195,80,16,0,80,Sales,"Sales Executive",2,3,3,No,Travel_Rarely,1,4,3,5,5,4,0,3,3
621,34,Male,Single,4,"Life Sciences",1,Y,21,No,3,1,5337,19921,258,74,12,0,80,Sales,"Sales Executive",2,4,4,No,Travel_Rarely,4,4,3,10,10,7,5,7,3
622,26,Male,Single,3,"Technical Degree",1,Y,24,Yes,3,1,2340,23213,471,66,18,0,80,"Research & Development","Laboratory Technician",1,1,4,Yes,Travel_Rarely,3,2,1,1,1,0,0,0,3
623,37,Female,Single,3,"Technical Degree",4,Y,1,No,3,1,7491,23848,799,59,17,0,80,"Research & Development","Manufacturing Director",3,3,4,No,Travel_Rarely,2,4,4,12,6,5,1,2,3
624,46,Female,Married,1,Medical,5,Y,18,No,3,1,10527,8984,1034,86,11,0,80,"Research & Development","Healthcare Representative",3,3,3,No,Travel_Frequently,1,4,2,28,2,2,1,2,3
625,41,Female,Married,5,"Life Sciences",7,Y,2,No,3,1,16595,5626,1276,91,16,1,80,Sales,Manager,4,3,1,No,Travel_Rarely,2,2,3,22,18,16,11,8,2
626,37,Male,Divorced,4,Medical,1,Y,9,No,3,1,8834,24666,142,69,13,1,80,Sales,"Sales Executive",3,3,2,No,Non-Travel,1,4,3,9,9,5,7,7,6
